Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Baltimore Orioles,26,27.9,5.4,68,93,0.422,5.13,161,161,157,4,4,1,35,1422.0,1538,869,810,184,687,44,922,80,7,72,6414,87,5.14,1.565,9.7,1.2,4.3,5.8,1.34,1279
Boston Red Sox,23,29.2,4.28,95,67,0.586,4.01,162,162,157,5,16,2,47,1446.1,1369,694,645,147,548,17,1185,68,2,43,6180,116,4.09,1.325,8.5,0.9,3.4,7.4,2.16,1147
Chicago White Sox,19,28.3,4.47,89,74,0.546,4.06,163,163,159,4,10,0,34,1457.2,1471,729,658,156,460,42,1147,48,3,54,6218,112,4.0,1.325,9.1,1.0,2.8,7.1,2.49,1116
Cleveland Indians,28,28.6,4.7,81,81,0.5,4.45,162,162,152,10,13,5,31,1437.0,1530,761,711,170,444,28,986,51,5,44,6164,95,4.33,1.374,9.6,1.1,2.8,6.2,2.22,1092
Detroit Tigers,25,29.9,5.29,74,88,0.457,4.9,162,162,161,1,2,0,34,1445.0,1541,857,786,172,644,63,991,68,7,65,6411,91,4.79,1.512,9.6,1.1,4.0,6.2,1.54,1219
Kansas City Royals,25,27.6,4.82,75,87,0.463,4.48,162,162,160,2,8,0,44,1445.2,1473,781,720,159,515,15,1085,41,5,68,6214,96,4.21,1.375,9.2,1.0,3.2,6.8,2.11,1096
Los Angeles Angels of Anaheim,19,27.6,4.3,100,62,0.617,3.99,162,162,155,7,10,1,66,1451.1,1455,697,644,160,457,32,1106,63,2,50,6161,112,4.12,1.317,9.0,1.0,2.8,6.9,2.42,1110
Minnesota Twins,19,27.5,4.57,88,75,0.54,4.16,163,163,158,5,10,2,42,1459.0,1568,745,675,183,406,38,995,31,4,45,6221,101,4.3,1.353,9.7,1.1,2.5,6.1,2.45,1099
New York Yankees,27,30.6,4.49,89,73,0.549,4.28,162,162,161,1,11,0,42,1441.2,1478,727,685,143,489,37,1141,51,5,55,6175,103,3.96,1.364,9.2,0.9,3.1,7.1,2.33,1123
Oakland Athletics,24,26.5,4.29,75,86,0.466,4.01,161,161,157,4,7,1,33,1435.0,1364,690,640,135,576,45,1061,54,4,30,6112,103,4.19,1.352,8.6,0.8,3.6,6.7,1.84,1117
Seattle Mariners,22,28.5,5.01,61,101,0.377,4.73,162,162,158,4,4,0,36,1435.1,1544,811,754,161,626,37,1016,53,5,60,6368,90,4.59,1.512,9.7,1.0,3.9,6.4,1.62,1251
Tampa Bay Rays,21,27.5,4.14,97,65,0.599,3.82,162,162,155,7,12,5,52,1457.2,1349,671,618,166,526,29,1143,46,3,52,6145,116,4.22,1.286,8.3,1.0,3.2,7.1,2.17,1101
Texas Rangers,30,28.1,5.97,79,83,0.488,5.37,162,162,156,6,8,2,36,1442.0,1647,967,860,176,625,44,963,72,9,62,6506,83,4.83,1.576,10.3,1.1,3.9,6.0,1.54,1213
Toronto Blue Jays,19,28.6,3.77,86,76,0.531,3.49,162,162,147,15,13,5,44,1446.2,1330,610,561,134,467,42,1184,67,4,51,6067,122,3.81,1.242,8.3,0.8,2.9,7.4,2.54,1117
League Average,23,28.3,4.68,83,79,0.51,4.35,162,162,157,5,9,2,41,1444.0,1476,758,698,160,534,37,1066,57,5,54,6240,101,4.33,1.391,9.2,1.0,3.3,6.6,2.0,1149
,316,28.3,4.68,1157,1111,0.51,4.35,2268,2268,2193,75,128,24,576,20222.1,20657,10609,9767,2246,7470,513,14925,793,65,751,87356,101,4.33,1.391,9.2,1.0,3.3,6.6,2.0,16080
