"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Gonzales, Marco","594835","623","14.5",32.1,"111.2","86.7","91","84.1","446","164","396","218",35,"45",7.2,5.7
"Alcantara, Sandy","645261","620","5.5",28.2,"114.8","87.8","93.3","85.4","450","134","406","239",38.5,"33",5.3,3.7
"Mikolas, Miles","571945","606","11",35.1,"113.6","87.8","91.2","85.5","450","161","402","218",36,"42",6.9,5.2
"Wainwright, Adam","425794","599","11",37.4,"112.3","87.8","92.3","84","423","166","394","219",36.6,"39",6.5,4.9
"Quantrill, Cal","615698","585","13.8",33.3,"114.9","87.6","92.7","84","423","162","396","209",35.7,"44",7.5,5.7
"Pérez, Martín","527048","576","8.1",30.4,"112","88.2","91.3","86.5","435","141","407","201",34.9,"25",4.3,3
"Irvin, Cole","608344","570","15.5",35.4,"113.8","89.4","92.8","86.7","464","180","405","225",39.5,"55",9.6,7.4
"Lyles, Jordan","543475","570","15.3",35.1,"118.8","88.6","93.2","85.8","426","171","395","221",38.8,"59",10.4,7.6
"Webb, Logan","657277","567","3.1",29.3,"112.3","88.9","93.6","86.6","424","126","405","221",39,"31",5.5,3.9
"Freeland, Kyle","607536","566","12.7",35.2,"115.2","89.8","93.7","86.5","457","172","412","240",42.4,"55",9.7,7.2
"Kelly, Merrill","518876","564","14",31.2,"111.7","88.5","92.9","84.8","459","166","406","206",36.5,"47",8.3,5.8
"Márquez, Germán","608566","562","9.1",35.8,"112.2","90.5","94.1","88.3","468","163","411","265",47.2,"40",7.1,5.1
"Bieber, Shane","669456","555","10",32.3,"110.2","89.9","94.5","86.7","447","153","398","239",43.1,"40",7.2,5.1
"Valdez, Framber","664285","555","-3.6",23.8,"118.4","89.8","94.8","88","433","102","395","231",41.6,"32",5.8,3.9
"Berríos, José","621244","546","13.9",36.3,"113.8","90","93.1","87.7","447","172","401","239",43.8,"52",9.5,6.9
"Taillon, Jameson","592791","539","14.5",34.5,"115.1","88.5","93.2","85","473","168","403","195",36.2,"45",8.3,6.2
"Manoah, Alek","666201","539","16.9",32.8,"114.9","87.5","90.6","85.1","427","167","393","170",31.5,"29",5.4,3.7
"Gilbert, Logan","669302","537","14.6",37.6,"118","91","93.7","89.4","462","177","401","245",45.6,"38",7.1,5
"Nola, Aaron","605400","534","12.5",34.3,"112","87.7","92.9","83.4","453","161","395","169",31.6,"38",7.1,4.7
"Corbin, Patrick","571578","529","11.5",39.9,"112.9","90.8","94.1","88","441","167","406","238",45,"58",11,8.1
"Bumgarner, Madison","518516","528","16.8",37.5,"113.6","90.3","93.8","87","468","186","407","228",43.2,"52",9.8,7.4
"Fried, Max","608331","527","7.6",29.4,"112.7","86.2","90.1","83.9","425","141","404","169",32.1,"21",4,2.9
"Anderson, Tyler","542881","526","16.9",34.2,"111.6","85","90.5","80.4","432","166","398","150",28.5,"26",4.9,3.7
"Darvish, Yu","506433","525","17",31.2,"111.3","88.5","92.9","84.2","439","179","401","195",37.1,"46",8.8,6
"Montgomery, Jordan","656756","522","9.8",34.1,"114.6","88.5","91.7","86","438","152","395","196",37.5,"37",7.1,5.1
"Pivetta, Nick","601713","520","15.2",36.3,"117.5","90.7","94.5","87.5","447","178","395","237",45.6,"47",9,6.1
