"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Hendricks, Kyle","543294","597","11.1",37.2,"112.2","86.3","92.2","81.8","453","159","400","197",33,"50",8.4,6.4
"Wainwright, Adam","425794","595","10",34.3,"112.2","88.2","92.4","85.1","451","154","397","212",35.6,"37",6.2,4.5
"Irvin, Cole","608344","591","16.2",35.5,"115.9","89.3","93","86.2","466","177","394","232",39.3,"43",7.3,5.6
"Alcantara, Sandy","645261","576","4.5",29.9,"115.7","87.6","93.1","84.3","456","139","401","227",39.4,"35",6.1,4.2
"Flexen, Chris","623167","572","11.5",33.9,"114.4","89.5","93.4","86.1","451","168","397","218",38.1,"36",6.3,4.9
"Lyles, Jordan","543475","560","15.3",35.4,"115.5","89.9","94.3","85.2","465","181","396","233",41.6,"51",9.1,6.6
"Keuchel, Dallas","572971","558","5",34.2,"115.6","88.3","93.3","85.2","449","140","402","222",39.8,"50",9,6.9
"Wheeler, Zack","554430","548","8.4",30.8,"118.6","84.6","89.7","83.1","474","135","418","156",28.5,"25",4.6,2.9
"Buehler, Walker","621111","545","11.1",28.8,"114.4","88.2","92.7","85.6","425","155","399","202",37.1,"37",6.8,4.5
"Corbin, Patrick","571578","544","9",32.9,"112.9","89.4","94.4","85.7","475","158","400","224",41.2,"50",9.2,6.7
"Greinke, Zack","425844","539","10.6",35.3,"113.2","88.3","93.1","84.2","464","158","398","191",35.4,"35",6.5,5
"Anderson, Tyler","542881","530","18.2",34.9,"114.7","87","91.4","82.2","433","179","396","175",33,"45",8.5,6.4
"Castillo, Luis","622491","529","4.2",28.5,"114.9","87.7","90.4","86.6","464","124","387","195",36.9,"24",4.5,3
"Gibson, Kyle","502043","527","7.4",30.6,"113.6","88.8","91.9","87.6","465","143","396","206",39.1,"26",4.9,3.4
"Eovaldi, Nathan","543135","527","12.8",37,"115.6","88","91.9","85.9","441","160","390","192",36.4,"33",6.3,4.3
"Senzatela, Antonio","622608","524","8.1",30.5,"112.5","90.4","93.5","88.9","435","147","398","224",42.7,"31",5.9,4.6
"Stroman, Marcus","573186","521","6.3",33.6,"112.4","89.1","92.8","86.5","435","144","406","219",42,"34",6.5,4.7
"Ryu, Hyun Jin","547943","519","9.8",33.3,"113.9","89.6","93.4","87.6","463","158","398","216",41.6,"44",8.5,6.3
"Berríos, José","621244","517","12.4",36.6,"115.5","88.4","92.5","86.4","437","166","408","198",38.3,"47",9.1,6
"Miley, Wade","489119","512","8",31.6,"113.1","85.7","90.9","81.7","441","142","405","175",34.2,"31",6.1,4.5
"Márquez, Germán","608566","511","5.2",32.1,"111.9","88.9","93.1","86.1","486","146","412","201",39.3,"27",5.3,3.6
"Manaea, Sean","640455","510","13.3",34.3,"115.3","90.2","94.6","87.5","472","165","409","210",41.2,"41",8,5.4
"Montas, Frankie","593423","506","11.6",34.4,"114.5","89.3","94","86","447","164","403","214",42.3,"44",8.7,5.7
"Urías, Julio","628711","505","15.5",31.5,"114.2","86","91.2","81.5","465","167","404","153",30.3,"27",5.3,3.6
"Yarbrough, Ryan","642232","500","17.3",37.6,"117.4","84.8","89.9","80.3","461","172","401","141",28.2,"39",7.8,6
"Happ, J.A.","457918","498","16.4",38.4,"114.1","90.2","94.1","85.5","456","191","400","208",41.8,"58",11.6,8.6
"Gausman, Kevin","592332","494","12.1",30.4,"115.3","89.1","93.1","86.2","452","165","404","202",40.9,"35",7.1,4.5
"Kelly, Merrill","518876","492","12.9",33.1,"114.9","89","92.9","86.5","449","163","398","195",39.6,"31",6.3,4.6
"DeSclafani, Anthony","543101","480","11.6",32.3,"115.7","88.9","92.9","86.5","427","162","399","186",38.8,"39",8.1,5.8
"Nola, Aaron","605400","478","14.4",33.3,"116","88.9","92.7","85.7","460","169","405","179",37.4,"34",7.1,4.5
"Lester, Jon","452657","478","10.4",33.1,"116","88.3","92.7","84.6","452","158","399","178",37.2,"37",7.7,5.9
"Mahle, Tyler","641816","475","13.3",33.9,"117.4","87.8","91.5","84.5","478","158","406","163",34.3,"31",6.5,4.1
"Minor, Mike","501985","474","16.5",35,"114.2","88.5","92.5","86.3","453","172","410","170",35.9,"44",9.3,6.6
"Davies, Zach","605200","473","11",35.7,"112.2","89.8","93.1","86.9","441","164","400","205",43.3,"43",9.1,6.4
"Musgrove, Joe","605397","473","11.6",33.8,"109.9","87.8","92.1","84.8","428","162","396","182",38.5,"34",7.2,4.5
"Ray, Robbie","592662","469","17.6",34.3,"115.3","90.4","93.9","88.6","455","181","403","202",43.1,"46",9.8,6
"Morton, Charlie","450203","465","7.7",29.7,"115.5","88.1","92.1","85.4","437","145","401","151",32.5,"23",4.9,3
"Giolito, Lucas","608337","465","18.3",37.2,"116.7","87.7","92.6","82.6","445","179","386","159",34.2,"31",6.7,4.3
"Fried, Max","608331","461","6.1",30.8,"112","86.5","89.9","85.2","460","134","400","158",34.3,"29",6.3,4.3
"Plesac, Zach","668676","456","12.1",31.8,"115.6","90.6","95","86.6","475","167","409","198",43.4,"43",9.4,7.2
"Matz, Steven","571927","454","9.6",32.2,"111.9","87.8","91.7","84.8","445","153","398","172",37.9,"32",7,4.9
"Walker, Taijuan","592836","449","12.4",30.3,"115.9","89.1","93.5","85.4","444","170","401","177",39.4,"45",10,6.9
"Woodruff, Brandon","605540","447","10.6",35.8,"114","86.2","90.7","82.6","450","160","404","146",32.7,"26",5.8,3.7
