"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Merrifield, Whit","593160","216","15.8",39.8,"105.8","86.1","89.6","81.7","406","180","388","59",27.3,"11",5.1,4.2
"Turner, Trea","607208","199","9.5",34.2,"111.2","90.5","93.3","88.7","422","166","399","81",40.7,"19",9.5,7.3
"Lindor, Francisco","596019","197","13.5",36.5,"111.4","89.9","93.3","86.8","412","176","390","81",41.1,"11",5.6,4.1
"Alberto, Hanser","593643","193","13.2",32.6,"103.8","82.3","88.4","79.5","391","141","381","40",20.7,"2",1,0.9
"Machado, Manny","592518","191","15.6",34.6,"115.7","90.2","94.1","88.2","436","177","413","83",43.5,"21",11,8.3
"Gregorius, Didi","544369","190","17.8",35.3,"104.7","83.8","90.2","79","417","171","385","53",27.9,"8",4.2,3.4
"Gurriel, Yuli","493329","189","13.9",34.4,"107.1","89.3","91.4","88.4","420","180","394","69",36.5,"7",3.7,3
"Franco, Maikel","596748","189","8.4",33.3,"112.5","86.7","94.2","82.5","420","157","402","73",38.6,"11",5.8,4.5
"Marte, Starling","516782","188","6.5",29.8,"110.6","87.1","91.2","84.6","447","143","411","57",30.3,"12",6.4,4.8
"La Stella, Tommy","600303","187","17.1",32.1,"108.8","88","90.4","87.3","430","171","392","53",28.3,"9",4.8,3.9
"Fletcher, David","664058","185","4.1",30.8,"107","84.7","86.7","85.2","365","126","359","33",17.8,"1",0.5,0.4
"Guerrero Jr., Vladimir","665489","183","4.6",29.5,"116.1","92.5","94.6","91.7","415","142","396","93",50.8,"16",8.7,6.6
"Abreu, José","547989","182","10.9",37.4,"114","92.9","97.1","89.2","452","177","406","97",53.3,"26",14.3,9.9
"Blackmon, Charlie","453568","182","13.5",38.5,"109.7","86.9","89.5","84.6","446","175","418","54",29.7,"9",4.9,3.6
"Betts, Mookie","605141","182","18.5",40.1,"108.5","90.7","92.6","88.7","416","200","396","79",43.4,"14",7.7,5.7
"Kiner-Falefa, Isiah","643396","180","0.8",22.2,"106.2","87.2","90.5","85.8","398","117","370","56",31.1,"4",2.2,1.8
"Rosario, Eddie","592696","178","18.1",30.3,"105","87.5","92","84","419","176","394","63",35.4,"11",6.2,4.8
"Freeman, Freddie","518692","177","17.2",49.2,"109.3","92.4","96.1","88.1","443","207","409","96",54.2,"26",14.7,9.9
"Ramírez, José","608070","177","23.2",36.7,"114.3","88.7","94.1","84","434","193","395","63",35.6,"18",10.2,7.1
"Polanco, Jorge","593871","177","16.1",39,"109.2","86.6","89.2","84.9","391","175","378","59",33.3,"5",2.8,2.2
