Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Thursday, Apr 5",boxscore,TOR,@,CLE,W,7,4,16,1-0,1,up 0.5,Perez,Asencio,,5:14,D,43190,.97,+,
2,"Saturday, Apr 7",boxscore,TOR,@,CLE,W,7,4,12,2-0,1,Tied,Janssen,Sipp,,3:38,D,18842,1.02,++,
3,"Sunday, Apr 8",boxscore,TOR,@,CLE,L,3,4,,2-1,3,1.0,Lowe,Carreño,Perez,2:51,D,10518,1.05,-,
4,"Monday, Apr 9",boxscore,TOR,,BOS,L,2,4,,2-2,3,1.5,Atchison,Santos,Aceves,3:02,N,48473,1.06,--,
5,"Tuesday, Apr 10",boxscore,TOR,,BOS,W,7,3,,3-2,2,0.5,Drabek,Bard,,3:19,N,26351,1.07,+,
6,"Wednesday, Apr 11",boxscore,TOR,,BOS,W,3,1,,4-2,2,0.5,Romero,Lester,Santos,2:13,D,25285,1.09,++,
7,"Friday, Apr 13",boxscore,TOR,,BAL,L,5,7,,4-3,1,Tied,O'Day,Oliver,Johnson,2:40,N,21988,1.23,-,
8,"Saturday, Apr 14",boxscore,TOR,,BAL,L,4,6,,4-4,2,1.0,Ayala,Cordero,Johnson,2:57,D,28355,1.17,--,
9,"Sunday, Apr 15",boxscore,TOR,,BAL,W,9,2,,5-4,1,Tied,Drabek,Matusz,,2:39,D,20252,1.10,+,
10,"Tuesday, Apr 17",boxscore,TOR,,TBR,W,7,3,,6-4,2,0.5,Romero,Niemann,,3:05,N,15331,1.15,++,
11,"Wednesday, Apr 18",boxscore,TOR,,TBR,L,2,12,,6-5,2,0.5,Price,Morrow,,3:11,N,15828,1.13,-,
12,"Thursday, Apr 19",boxscore,TOR,,TBR,L,4,9,,6-6,4,1.5,Hellickson,Álvarez,,3:43,N,18976,1.14,--,
13,"Friday, Apr 20",boxscore,TOR,@,KCR,W,4,3,,7-6,3,0.5,Perez,Holland,Santos,3:14,N,23065,.98,+,
14,"Saturday, Apr 21",boxscore,TOR,@,KCR,W,9,5,,8-6,2,0.5,Hutchison,Teaford,,3:03,N,27804,1.01,++,
15,"Sunday, Apr 22",boxscore,TOR,@,KCR,W,5,3,,9-6,1,Tied,Romero,Duffy,Cordero,3:08,D,26891,1.05,+++,
16,"Monday, Apr 23",boxscore,TOR,@,KCR,W,4,1,,10-6,1,Tied,Morrow,Chen,Cordero,2:31,N,13267,1.06,++++,
17,"Tuesday, Apr 24",boxscore,TOR,@,BAL,L,1,2,,10-7,1,Tied,Hunter,Álvarez,Strop,2:22,N,11058,1.32,-,
18,"Wednesday, Apr 25",boxscore,TOR,@,BAL,L,0,3,,10-8,3,1.0,Hammel,Drabek,Strop,2:24,N,10415,1.26,--,
19,"Thursday, Apr 26",boxscore,TOR,@,BAL,L,2,5,,10-9,4,2.0,O'Day,Janssen,Ayala,2:51,N,13725,1.16,---,
20,"Friday, Apr 27",boxscore,TOR,,SEA,L,5,9,10,10-10,4,3.0,Furbush,Perez,,3:35,N,24303,.97,----,
21,"Saturday, Apr 28",boxscore,TOR,,SEA,W,7,0,,11-10,4,2.0,Morrow,Millwood,,2:45,D,30765,.95,+,
22,"Sunday, Apr 29",boxscore,TOR,,SEA,W,7,2,,12-10,4,2.0,Álvarez,Vargas,,2:36,D,22320,.97,++,
23,"Monday, Apr 30",boxscore,TOR,,TEX,L,1,4,,12-11,4,3.0,Darvish,Drabek,Nathan,2:59,N,21945,1.02,-,
Gm#,May,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
24,"Tuesday, May 1",boxscore,TOR,,TEX,W-wo,8,7,,13-11,4,3.0,Cordero,Adams,,2:56,N,18774,.93,+,
25,"Wednesday, May 2",boxscore,TOR,,TEX,W,11,5,,14-11,3,3.0,Romero,Harrison,,2:45,D,25123,.97,++,
26,"Thursday, May 3",boxscore,TOR,@,LAA,W,5,0,,15-11,3,3.0,Morrow,Haren,,2:11,N,28359,1.02,+++,
27,"Friday, May 4",boxscore,TOR,@,LAA,W,4,0,,16-11,3,3.0,Álvarez,Santana,,2:10,N,33160,1.07,++++,
28,"Saturday, May 5",boxscore,TOR,@,LAA,L,2,6,,16-12,3,3.0,Wilson,Drabek,,2:54,N,39018,1.08,-,
29,"Sunday, May 6",boxscore,TOR,@,LAA,L,3,4,,16-13,3,3.5,Williams,Hutchison,Hawkins,2:51,D,37548,1.02,--,
30,"Tuesday, May 8",boxscore,TOR,@,OAK,L-wo,3,7,,16-14,4,3.0,Balfour,Cordero,,2:58,N,10784,1.04,---,
31,"Wednesday, May 9",boxscore,TOR,@,OAK,W,5,2,,17-14,3,3.0,Morrow,Ross,Janssen,3:01,D,14815,1.04,+,
32,"Thursday, May 10",boxscore,TOR,@,MIN,W,6,2,,18-14,3,2.0,Álvarez,Marquis,,2:45,N,31438,1.02,++,
33,"Friday, May 11",boxscore,TOR,@,MIN,L,6,7,,18-15,4,3.0,Blackburn,Drabek,Capps,3:17,N,33387,1.08,-,
34,"Saturday, May 12",boxscore,TOR,@,MIN,W,2,1,,19-15,4,3.0,Hutchison,Walters,Janssen,2:50,N,38820,1.02,+,
35,"Sunday, May 13",boxscore,TOR,@,MIN,L,3,4,,19-16,4,3.0,Diamond,Romero,Capps,2:59,D,36889,1.05,-,
