Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Orioles Batting, Tied 0-0, Red Sox' Tim Wakefield facing 1-2-3","Top of the 1st, Orioles Batting, Tied 0-0, Red Sox' Tim Wakefield facing 1-2-3","Top of the 1st, Orioles Batting, Tied 0-0, Red Sox' Tim Wakefield facing 1-2-3","Top of the 1st, Orioles Batting, Tied 0-0, Red Sox' Tim Wakefield facing 1-2-3","Top of the 1st, Orioles Batting, Tied 0-0, Red Sox' Tim Wakefield facing 1-2-3","Top of the 1st, Orioles Batting, Tied 0-0, Red Sox' Tim Wakefield facing 1-2-3","Top of the 1st, Orioles Batting, Tied 0-0, Red Sox' Tim Wakefield facing 1-2-3","Top of the 1st, Orioles Batting, Tied 0-0, Red Sox' Tim Wakefield facing 1-2-3","Top of the 1st, Orioles Batting, Tied 0-0, Red Sox' Tim Wakefield facing 1-2-3","Top of the 1st, Orioles Batting, Tied 0-0, Red Sox' Tim Wakefield facing 1-2-3","Top of the 1st, Orioles Batting, Tied 0-0, Red Sox' Tim Wakefield facing 1-2-3","Top of the 1st, Orioles Batting, Tied 0-0, Red Sox' Tim Wakefield facing 1-2-3"
t1,0-0,0,---,"4,(1-2) BCCX",O,BAL,Brian Roberts,Tim Wakefield,-2%,48%,Flyball: RF
t1,0-0,1,---,"4,(1-2) FBCX",O,BAL,David Newhan,Tim Wakefield,-2%,46%,Groundout: 2B-1B
t1,0-0,2,---,"4,(2-1) BBCX",,BAL,Melvin Mora,Tim Wakefield,2%,48%,Double to CF (Line Drive to LF-CF)
t1,0-0,2,-2-,"6,(3-2) BCBBCC",O,BAL,Miguel Tejada,Tim Wakefield,-3%,45%,Strikeout Looking
,,,,,,,,,"0 runs, 1 hit, 0 errors, 1 LOB. Orioles 0, Red Sox 0.","0 runs, 1 hit, 0 errors, 1 LOB. Orioles 0, Red Sox 0.","0 runs, 1 hit, 0 errors, 1 LOB. Orioles 0, Red Sox 0."
"Bottom of the 1st, Red Sox Batting, Tied 0-0, Orioles' Matt Riley facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Orioles' Matt Riley facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Orioles' Matt Riley facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Orioles' Matt Riley facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Orioles' Matt Riley facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Orioles' Matt Riley facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Orioles' Matt Riley facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Orioles' Matt Riley facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Orioles' Matt Riley facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Orioles' Matt Riley facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Orioles' Matt Riley facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Orioles' Matt Riley facing 1-2-3"
b1,0-0,0,---,"2,(0-1) CX",O,BOS,Johnny Damon,Matt Riley,2%,47%,Popfly: 2B (Short RF)
b1,0-0,1,---,"5,(2-2) CBBSS",O,BOS,Mark Bellhorn,Matt Riley,2%,49%,Strikeout Swinging
b1,0-0,2,---,"2,(1-0) BX",O,BOS,Manny Ramirez,Matt Riley,1%,50%,Flyball: RF
